ID	xref	prefLabel
https://purl.brain-bican.org/ontology/hbao/HBA_4490	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4490	paracentral nucleus of the thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4491	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4491	central medial nucleus of the thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4492	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4492	caudal group of intralaminar nuclei, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4493	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4493	centre median nucleus of the thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4494	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4494	parafascicular nucleus of the thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4495	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4495	dorsal lateral geniculate nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4496	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4496	dorsal lateral geniculate nucleus, right, magnocellular layers  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4497	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4497	dorsal lateral geniculate nucleus, right, parvocellular layers  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4498	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4498	dorsal lateral geniculate nucleus, right, s and intercalated layers  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4499	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4499	medial geniculate complex, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4500	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4500	ventral nucleus of the medial geniculate complex, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4501	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4501	anterodorsal nucleus of medial geniculate complex, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4502	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4502	posterodorsal nucleus of medial geniculate complex, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4503	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4503	magnocellular nucleus of the medial geniculate complex, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4504	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4504	ventral thalamus  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4505	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4505	ventral thalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4506	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4506	reticular nucleus of thalamus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4507	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4507	zona incerta, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4508	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4508	nucleus of the H field of Forel, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4509	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4509	thalamic fasciculus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4510	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4510	lenticular fasciculus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4511	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4511	ventral thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4512	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4512	reticular nucleus of thalamus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4513	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4513	zona incerta, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4514	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4514	nucleus of the H field of Forel, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4515	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4515	thalamic fasciculus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4516	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4516	lenticular fasciculus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4517	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4517	subthalamus  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4518	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4518	subthalamic nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4519	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4519	subthalamic nucleus, right  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4520	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4520	epithalamus  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4521	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4521	habenular nuclei  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4522	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4522	habenular nuclei, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4523	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4523	medial habenular nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4524	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4524	lateral habenular nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4525	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4525	lateral habenular nucleus, left, magnocellular division  ( human )
